Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,21.636362,22.082644,21.347107,21.950413,20.317715,2297790
2016-07-19,21.950413,22.107437,21.735537,21.900826,20.271816,2755049
2016-07-20,21.859505,22.413223,21.859505,22.123966,20.478354,2129721
2016-07-21,21.975206,22.181818,21.677685,21.942148,20.310062,1650682
2016-07-22,21.785124,22.396694,21.785124,22.314049,20.654305,2108909
2016-07-25,22.190083,22.305784,21.446280,21.528925,19.927576,4316191
2016-07-26,22.223141,22.223141,21.462809,21.537189,19.935226,5029849
2016-07-27,21.561983,22.545454,21.561983,22.024794,20.386560,5200822
2016-07-28,21.834709,22.322313,21.834709,22.322313,20.661953,1912042
2016-07-29,22.322313,22.851238,22.322313,22.528925,20.853197,3436400
2016-08-01,22.719007,22.892561,22.479338,22.702478,21.013840,2694065
2016-08-02,22.438017,22.644629,22.148760,22.396694,20.730801,2012230
2016-08-03,22.148760,22.454544,21.900826,22.132231,20.486012,2978657
2016-08-04,22.396694,22.661158,22.132231,22.479338,20.807299,2583834
2016-08-05,22.479338,22.661158,22.223141,22.347107,20.684900,1736713
2016-08-08,22.347107,22.495867,22.165289,22.231403,20.577808,931821
2016-08-09,22.115702,22.429752,22.033056,22.305784,20.646652,1894134
2016-08-10,22.479338,22.487602,21.917355,22.041323,20.401863,1484670
2016-08-11,21.975206,22.380165,21.735537,22.314049,20.654305,3196699
2016-08-12,22.388430,22.528925,22.190083,22.322313,20.661953,2363130
2016-08-15,22.479338,22.636362,22.198347,22.396694,20.730801,3061179
2016-08-16,22.206612,22.438017,21.991735,22.132231,20.486012,2602468
2016-08-17,21.983471,22.214876,21.157024,21.818180,20.195320,7746783
2016-08-18,21.818180,21.958677,21.239670,21.297520,19.713381,3270025
2016-08-19,21.157024,21.512396,21.057852,21.206612,19.629238,2501796
2016-08-22,21.000000,21.595041,20.958677,21.157024,19.583340,2461261
2016-08-23,21.272726,21.272726,20.289255,20.289255,18.780121,6639512
2016-08-24,20.289255,20.785124,20.223141,20.537189,19.009609,4286183
2016-08-25,20.636362,21.421488,20.619835,21.198347,19.621586,3266758
2016-08-26,21.157024,21.289255,20.388430,20.909090,19.353844,2868063
2016-08-29,20.909090,21.404959,20.553719,21.231403,19.652185,1745425
2016-08-30,21.099173,21.338842,20.851238,21.074381,19.506844,7284926
2016-08-31,21.074381,21.264462,20.578512,21.181818,19.606291,5025372
2016-09-01,21.024794,21.165289,20.661158,20.776859,19.231447,4472765
2016-09-02,20.991735,21.380165,20.719007,21.380165,19.789883,2417943
2016-09-05,21.404959,21.487602,21.066114,21.272726,19.690432,919842
2016-09-06,21.446280,21.743801,21.173553,21.652891,20.042324,2477717
2016-09-08,21.702478,21.892561,21.206612,21.404959,19.812836,4634300
2016-09-09,21.000000,21.165289,20.661158,20.661158,19.124357,3161488
2016-09-12,20.652891,20.826447,20.363636,20.826447,19.277351,2178484
2016-09-13,20.404959,20.760330,19.933884,20.338842,18.826017,2536523
2016-09-14,20.338842,20.520660,20.082644,20.404959,18.887215,1867151
2016-09-15,20.413223,20.652891,20.223141,20.537189,19.009609,1659757
2016-09-16,20.537189,20.537189,19.859505,20.347107,18.833664,3442571
2016-09-19,20.512396,20.809917,20.347107,20.479338,18.956053,2131415
2016-09-20,20.661158,20.760330,20.396694,20.760330,19.216150,1278002
2016-09-21,20.710743,20.727272,20.132231,20.545454,19.017258,5425640
2016-09-22,20.909090,21.024794,20.727272,20.842976,19.292646,5465328
2016-09-23,21.066114,21.239670,20.636362,20.842976,19.292646,2235838
2016-09-26,20.743801,20.859505,20.413223,20.595041,19.063158,1236015
2016-09-27,20.727272,20.900826,20.471073,20.900826,19.400547,2506757
2016-09-28,20.950413,21.322313,20.545454,21.074381,19.561636,2204257
2016-09-29,20.925619,21.165289,20.404959,20.404959,18.940268,2548865
2016-09-30,20.570248,20.793388,20.223141,20.223141,18.771503,4840726
2016-10-03,20.305784,20.826447,20.190083,20.636362,19.155066,4553835
2016-10-04,20.826447,20.909090,19.561983,20.049585,18.610403,8319355
2016-10-05,20.148760,20.685949,20.099173,20.611570,19.132053,3779677
2016-10-06,20.471073,20.702478,20.247932,20.661158,19.178082,2688257
2016-10-07,20.702478,21.157024,20.652891,21.157024,19.638351,5043522
2016-10-10,21.231403,21.322313,20.991735,21.322313,19.791777,3790204
2016-10-11,21.314049,21.371901,20.909090,21.074381,19.561636,4784219
2016-10-13,21.074381,21.471073,20.826447,21.471073,19.929859,9747639
2016-10-14,21.495867,21.942148,21.322313,21.735537,20.175341,5287821
2016-10-17,21.809917,22.206612,21.685949,21.983471,20.405472,3781613
2016-10-18,21.991735,22.727272,21.809917,22.322313,20.719995,6550335
2016-10-19,22.314049,22.438017,21.917355,22.280991,20.681643,2465617
2016-10-20,21.942148,22.520660,21.851238,22.314049,20.712328,2593030
2016-10-21,22.157024,22.520660,21.991735,22.231403,20.635611,2632839
2016-10-24,22.231403,22.479338,22.066114,22.231403,20.635611,1929587
2016-10-25,21.785124,22.553719,21.611570,22.239670,20.643286,6990654
2016-10-26,22.256199,22.479338,21.768595,22.107437,20.520542,5574228
2016-10-27,22.066114,22.347107,21.735537,21.818180,20.252054,3852882
2016-10-28,21.611570,22.090908,21.611570,21.900826,20.328764,1823470
2016-10-31,22.049585,22.371901,21.818180,22.314049,20.712328,3456486
2016-11-01,22.272726,22.314049,21.545454,21.652891,20.098631,2833336
2016-11-03,21.652891,21.752066,20.677685,20.677685,19.193419,5492674
2016-11-04,20.702478,20.884296,19.975206,20.074381,18.633423,8666988
2016-11-07,20.256199,20.983471,20.148760,20.735537,19.247122,3696671
2016-11-08,20.826447,20.933884,20.363636,20.570248,19.093695,2381401
2016-11-09,20.157024,20.495867,19.851238,20.247932,18.794516,2447104
2016-11-10,20.066114,20.247932,19.057852,19.256199,17.873972,6221941
2016-11-11,19.008265,19.619835,18.595041,18.826447,17.475065,8683202
2016-11-14,18.595041,19.561983,18.413223,19.198347,17.820274,5249948
2016-11-16,19.214876,19.603306,18.942148,19.421488,18.027401,3339963
2016-11-17,19.421488,19.454544,18.809917,18.876034,17.521097,8848609
2016-11-18,19.008265,19.148760,18.661158,18.842976,17.490408,2964621
2016-11-21,18.826447,19.066114,18.479338,18.950413,17.590137,3092276
2016-11-22,19.231403,19.520660,18.950413,18.950413,17.590137,2748757
