Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,EOS-USD,ETC-USD,ETH-USD,GAS-USD,LINK-USD,LTC-USD,REP-USD,TRX-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2017-10-31,0.030437,439.053009,1.31289,6468.399902,0.001124,0.781782,10.6225,305.878998,17.631001,0.193912,55.754101,17.585199,0.002814,,0.029182,87.644997,0.200558
2017-11-01,0.022986,531.828003,1.26154,6767.310059,0.001138,1.04563,10.2639,291.694,15.7738,0.157611,53.180801,16.952999,0.00251,,0.027353,85.717003,0.194124
2017-11-02,0.021306,587.221985,1.29963,7078.5,0.001151,1.11598,10.2395,287.428986,15.2297,0.167427,54.737301,16.180201,0.002312,,0.027607,83.763603,0.205861
2017-11-03,0.022628,625.323975,1.45922,7207.759766,0.001121,1.21152,12.6636,305.710999,17.402,0.171798,56.1814,17.8281,0.002227,,0.027779,87.987,0.208133
2017-11-04,0.022022,620.445007,1.6372,7379.950195,0.001189,1.12051,11.892,300.468994,17.1003,0.177603,55.037201,17.417601,0.002128,,0.027294,87.302696,0.20375
2017-11-05,0.020635,630.702026,1.52166,7407.410156,0.001182,1.09409,13.2433,296.263,16.757401,0.172059,54.746399,16.6127,0.002219,,0.026765,86.346901,0.202055
2017-11-06,0.021881,602.64801,1.56979,7022.759766,0.001154,0.91695,14.3327,298.891998,17.2204,0.167456,55.173698,16.8881,0.002125,,0.02888,102.916,0.20599
2017-11-07,0.022195,616.296021,1.80644,7144.379883,0.001177,0.951407,13.9226,294.658997,18.2202,0.177539,61.2952,17.042801,0.002184,,0.030699,99.764397,0.210354
2017-11-08,0.025186,622.455017,2.03102,7459.689941,0.001222,1.13283,14.0214,309.070007,21.915501,0.213909,62.573101,18.384501,0.002338,,0.033763,113.315002,0.217437
2017-11-09,0.032053,654.302979,1.99077,7143.580078,0.001415,1.1808,14.2095,320.884003,23.027399,0.223969,64.269699,19.117001,0.002344,,0.039946,120.779999,0.217488
2017-11-10,0.027119,1007.419983,1.79684,6618.140137,0.001163,1.03065,14.6031,299.252991,19.6796,0.187602,59.260101,17.685699,0.002013,,0.033073,105.585999,0.206483
2017-11-11,0.027437,1340.449951,1.67047,6357.600098,0.001201,1.16498,19.4209,314.681,20.0951,0.17977,62.303299,18.213301,0.002003,,0.033053,119.615997,0.21043
2017-11-12,0.023977,1388.859985,1.51969,5950.069824,0.001038,1.09397,15.1837,307.90799,18.953899,0.170898,59.005402,17.451599,0.001783,,0.028182,123.856003,0.197339
2017-11-13,0.025808,1353.98999,1.68662,6559.490234,0.001211,1.17888,16.1059,316.716003,19.743099,0.183071,61.3965,18.225201,0.002112,,0.030656,123.402,0.203442
2017-11-14,0.02623,1273.530029,1.59258,6635.75,0.001184,1.67427,17.865999,337.631012,20.247499,0.188114,62.6796,18.864401,0.002485,,0.036374,122.352997,0.209825
2017-11-15,0.026445,1212.400024,1.53045,7315.540039,0.001339,1.66687,17.548,333.356995,22.071501,0.186138,63.823601,19.2199,0.002322,,0.037053,121.374001,0.212956
2017-11-16,0.02758,900.776001,1.57792,7871.689941,0.00139,1.64843,16.880699,330.924011,19.425301,0.169761,71.060204,19.778799,0.002209,,0.037234,120.305,0.227107
2017-11-17,0.025773,1185.47998,1.51036,7708.990234,0.001313,1.74878,17.244499,332.394012,25.593901,0.159649,67.569,19.258101,0.001984,,0.035572,126.699997,0.226581
2017-11-18,0.026369,1254.530029,1.67433,7790.149902,0.001373,1.92783,17.7185,347.612,27.546301,0.170872,69.6437,19.7363,0.002028,,0.036583,130.798996,0.228627
2017-11-19,0.028084,1172.050049,1.61377,8036.490234,0.001376,1.88155,17.916599,354.385986,24.1758,0.162354,71.589302,20.198999,0.002002,,0.036566,129.479004,0.231016
2017-11-20,0.029581,1236.01001,1.62445,8200.639648,0.001394,1.994,18.394899,366.730011,21.553101,0.162183,72.2528,20.989799,0.002134,,0.038121,135.764999,0.238759
2017-11-21,0.02833,1176.969971,1.57406,8071.259766,0.001389,1.90416,17.7997,360.401001,21.6019,0.154972,70.028297,21.1269,0.002143,,0.037668,141.738007,0.233271
2017-11-22,0.028549,1303.310059,1.61175,8253.549805,0.001823,1.88525,17.992001,380.652008,21.089399,0.168515,71.892799,25.121599,0.002302,,0.042299,165.949997,0.238859
